customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
customer_id,customer_name,email,registration_date,region
CUST001,Иван Петров,ivan.)petrov@mail.ru,2023-05-10,Москва
